事業コード,開発コード,部番,販社,SF-CODE,ランク,年月,経過月,月次使用数,累積販売台数
E1,M01,101-0,A,SF-101,A,202110,9,2,1248
E1,M01,101-0,B,SF-101,A,202110,9,1,881
E1,M01,101-0,C,SF-101,A,202110,9,1,734
E1,M01,101-0,D,SF-101,A,202110,9,1,550
E1,M01,101-0,E,SF-101,A,202110,9,1,257
E1,M01,101-0,ALL,SF-101,A,202110,9,6,3670
E1,M01,101-0,A,SF-101,A,202111,10,1,1292
E1,M01,101-0,B,SF-101,A,202111,10,0,912
E1,M01,101-0,C,SF-101,A,202111,10,1,760
E1,M01,101-0,D,SF-101,A,202111,10,1,570
E1,M01,101-0,E,SF-101,A,202111,10,0,266
E1,M01,101-0,ALL,SF-101,A,202111,10,3,3800
E1,M01,101-0,A,SF-101,A,202112,11,0,1336
E1,M01,101-0,B,SF-101,A,202112,11,0,943
E1,M01,101-0,C,SF-101,A,202112,11,2,786
E1,M01,101-0,D,SF-101,A,202112,11,1,590
E1,M01,101-0,E,SF-101,A,202112,11,0,275
E1,M01,101-0,ALL,SF-101,A,202112,11,3,3930
E1,M01,101-0,A,SF-101,A,202201,12,1,1380
E1,M01,101-0,B,SF-101,A,202201,12,0,974
E1,M01,101-0,C,SF-101,A,202201,12,0,812
E1,M01,101-0,D,SF-101,A,202201,12,1,609
E1,M01,101-0,E,SF-101,A,202201,12,1,284
E1,M01,101-0,ALL,SF-101,A,202201,12,3,4060
E1,M01,101-0,A,SF-101,A,202202,13,0,1425
E1,M01,101-0,B,SF-101,A,202202,13,3,1006
E1,M01,101-0,C,SF-101,A,202202,13,1,838
E1,M01,101-0,D,SF-101,A,202202,13,2,628
E1,M01,101-0,E,SF-101,A,202202,13,0,293
E1,M01,101-0,ALL,SF-101,A,202202,13,6,4190
E1,M01,101-0,A,SF-101,A,202203,14,3,1469
E1,M01,101-0,B,SF-101,A,202203,14,1,1037
E1,M01,101-0,C,SF-101,A,202203,14,1,864
E1,M01,101-0,D,SF-101,A,202203,14,0,648
E1,M01,101-0,E,SF-101,A,202203,14,0,302
E1,M01,101-0,ALL,SF-101,A,202203,14,5,4320
E1,M01,101-0,A,SF-101,A,202204,15,0,1513
E1,M01,101-0,B,SF-101,A,202204,15,1,1068
E1,M01,101-0,C,SF-101,A,202204,15,0,890
E1,M01,101-0,D,SF-101,A,202204,15,0,668
E1,M01,101-0,E,SF-101,A,202204,15,0,312
E1,M01,101-0,ALL,SF-101,A,202204,15,1,4450
E1,M01,101-0,A,SF-101,A,202205,16,3,1557
E1,M01,101-0,B,SF-101,A,202205,16,1,1099
E1,M01,101-0,C,SF-101,A,202205,16,1,916
E1,M01,101-0,D,SF-101,A,202205,16,0,687
E1,M01,101-0,E,SF-101,A,202205,16,0,321
E1,M01,101-0,ALL,SF-101,A,202205,16,5,4580
E1,M01,101-0,A,SF-101,A,202206,17,1,1601
E1,M01,101-0,B,SF-101,A,202206,17,1,1130
E1,M01,101-0,C,SF-101,A,202206,17,0,942
E1,M01,101-0,D,SF-101,A,202206,17,0,706
E1,M01,101-0,E,SF-101,A,202206,17,0,330
E1,M01,101-0,ALL,SF-101,A,202206,17,2,4710
E1,M01,101-0,A,SF-101,A,202207,18,0,1646
E1,M01,101-0,B,SF-101,A,202207,18,3,1162
E1,M01,101-0,C,SF-101,A,202207,18,0,968
E1,M01,101-0,D,SF-101,A,202207,18,0,726
E1,M01,101-0,E,SF-101,A,202207,18,0,339
E1,M01,101-0,ALL,SF-101,A,202207,18,3,4840
E1,M01,101-0,A,SF-101,A,202208,19,0,1690
E1,M01,101-0,B,SF-101,A,202208,19,4,1193
E1,M01,101-0,C,SF-101,A,202208,19,2,994
E1,M01,101-0,D,SF-101,A,202208,19,4,746
E1,M01,101-0,E,SF-101,A,202208,19,0,348
E1,M01,101-0,ALL,SF-101,A,202208,19,10,4970
E1,M01,101-0,A,SF-101,A,202209,20,1,1734
E1,M01,101-0,B,SF-101,A,202209,20,0,1224
E1,M01,101-0,C,SF-101,A,202209,20,1,1020
E1,M01,101-0,D,SF-101,A,202209,20,0,765
E1,M01,101-0,E,SF-101,A,202209,20,1,357
E1,M01,101-0,ALL,SF-101,A,202209,20,3,5100
E1,M01,101-0,A,SF-101,A,202210,21,2,1778
E1,M01,101-0,B,SF-101,A,202210,21,4,1255
E1,M01,101-0,C,SF-101,A,202210,21,0,1046
E1,M01,101-0,D,SF-101,A,202210,21,2,784
E1,M01,101-0,E,SF-101,A,202210,21,0,366
E1,M01,101-0,ALL,SF-101,A,202210,21,8,5230
E1,M01,101-0,A,SF-101,A,202211,22,1,1822
E1,M01,101-0,B,SF-101,A,202211,22,1,1286
E1,M01,101-0,C,SF-101,A,202211,22,1,1072
E1,M01,101-0,D,SF-101,A,202211,22,1,804
E1,M01,101-0,E,SF-101,A,202211,22,0,375
E1,M01,101-0,ALL,SF-101,A,202211,22,4,5360
E1,M01,101-0,A,SF-101,A,202212,23,4,1867
E1,M01,101-0,B,SF-101,A,202212,23,0,1318
E1,M01,101-0,C,SF-101,A,202212,23,0,1098
E1,M01,101-0,D,SF-101,A,202212,23,1,824
E1,M01,101-0,E,SF-101,A,202212,23,0,384
E1,M01,101-0,ALL,SF-101,A,202212,23,5,5490
E1,M01,101-0,A,SF-101,A,202301,24,0,1911
E1,M01,101-0,B,SF-101,A,202301,24,0,1349
E1,M01,101-0,C,SF-101,A,202301,24,1,1124
E1,M01,101-0,D,SF-101,A,202301,24,0,843
E1,M01,101-0,E,SF-101,A,202301,24,0,393
E1,M01,101-0,ALL,SF-101,A,202301,24,1,5620
E1,M01,101-0,A,SF-101,A,202302,25,2,1955
E1,M01,101-0,B,SF-101,A,202302,25,1,1380
E1,M01,101-0,C,SF-101,A,202302,25,0,1150
E1,M01,101-0,D,SF-101,A,202302,25,2,862
E1,M01,101-0,E,SF-101,A,202302,25,0,403
E1,M01,101-0,ALL,SF-101,A,202302,25,5,5750
E1,M01,101-0,A,SF-101,A,202303,26,2,1999
E1,M01,101-0,B,SF-101,A,202303,26,2,1411
E1,M01,101-0,C,SF-101,A,202303,26,2,1176
E1,M01,101-0,D,SF-101,A,202303,26,1,882
E1,M01,101-0,E,SF-101,A,202303,26,0,412
E1,M01,101-0,ALL,SF-101,A,202303,26,7,5880
E1,M01,101-0,A,SF-101,A,202304,27,2,2043
E1,M01,101-0,B,SF-101,A,202304,27,0,1442
E1,M01,101-0,C,SF-101,A,202304,27,0,1202
E1,M01,101-0,D,SF-101,A,202304,27,3,902
E1,M01,101-0,E,SF-101,A,202304,27,0,421
E1,M01,101-0,ALL,SF-101,A,202304,27,5,6010
E1,M01,101-0,A,SF-101,A,202305,28,6,2088
E1,M01,101-0,B,SF-101,A,202305,28,2,1474
E1,M01,101-0,C,SF-101,A,202305,28,0,1228
E1,M01,101-0,D,SF-101,A,202305,28,1,921
E1,M01,101-0,E,SF-101,A,202305,28,0,430
E1,M01,101-0,ALL,SF-101,A,202305,28,9,6140
E1,M01,101-0,A,SF-101,A,202306,29,4,2132
E1,M01,101-0,B,SF-101,A,202306,29,3,1505
E1,M01,101-0,C,SF-101,A,202306,29,0,1254
E1,M01,101-0,D,SF-101,A,202306,29,1,940
E1,M01,101-0,E,SF-101,A,202306,29,1,439
E1,M01,101-0,ALL,SF-101,A,202306,29,9,6270
E1,M01,101-0,A,SF-101,A,202307,30,1,2176
E1,M01,101-0,B,SF-101,A,202307,30,2,1536
E1,M01,101-0,C,SF-101,A,202307,30,0,1280
E1,M01,101-0,D,SF-101,A,202307,30,0,960
E1,M01,101-0,E,SF-101,A,202307,30,0,448
E1,M01,101-0,ALL,SF-101,A,202307,30,3,6400
E1,M01,101-0,A,SF-101,A,202308,31,3,2220
E1,M01,101-0,B,SF-101,A,202308,31,2,1567
E1,M01,101-0,C,SF-101,A,202308,31,1,1306
E1,M01,101-0,D,SF-101,A,202308,31,1,980
E1,M01,101-0,E,SF-101,A,202308,31,0,457
E1,M01,101-0,ALL,SF-101,A,202308,31,7,6530
E1,M01,101-0,A,SF-101,A,202309,32,2,2264
E1,M01,101-0,B,SF-101,A,202309,32,2,1598
E1,M01,101-0,C,SF-101,A,202309,32,2,1332
E1,M01,101-0,D,SF-101,A,202309,32,0,999
E1,M01,101-0,E,SF-101,A,202309,32,0,466
E1,M01,101-0,ALL,SF-101,A,202309,32,6,6660
E1,M01,101-0,A,SF-101,A,202310,33,1,2309
E1,M01,101-0,B,SF-101,A,202310,33,0,1630
E1,M01,101-0,C,SF-101,A,202310,33,2,1358
E1,M01,101-0,D,SF-101,A,202310,33,3,1018
E1,M01,101-0,E,SF-101,A,202310,33,0,475
E1,M01,101-0,ALL,SF-101,A,202310,33,6,6790
E1,M01,101-0,A,SF-101,A,202311,34,3,2353
E1,M01,101-0,B,SF-101,A,202311,34,4,1661
E1,M01,101-0,C,SF-101,A,202311,34,0,1384
E1,M01,101-0,D,SF-101,A,202311,34,1,1038
E1,M01,101-0,E,SF-101,A,202311,34,1,484
E1,M01,101-0,ALL,SF-101,A,202311,34,9,6920
E1,M01,101-0,A,SF-101,A,202312,35,1,2397
E1,M01,101-0,B,SF-101,A,202312,35,2,1692
E1,M01,101-0,C,SF-101,A,202312,35,1,1410
E1,M01,101-0,D,SF-101,A,202312,35,3,1058
E1,M01,101-0,E,SF-101,A,202312,35,0,494
E1,M01,101-0,ALL,SF-101,A,202312,35,7,7050
E1,M01,101-0,A,SF-101,A,202401,36,1,2441
E1,M01,101-0,B,SF-101,A,202401,36,1,1723
E1,M01,101-0,C,SF-101,A,202401,36,0,1436
