事業コード,開発コード,部番,販社,SF-CODE,ランク,年月,経過月,累積販売台数,月次使用数
E1,M01,100-0,ALL,SF-100,A,202210,21,5230,8.0
E1,M01,100-0,ALL,SF-100,A,202211,22,5360,3.0
E1,M01,100-0,ALL,SF-100,A,202212,23,5490,10.0
E1,M01,100-0,ALL,SF-100,A,202301,24,5620,7.0
E1,M01,100-0,ALL,SF-100,A,202302,25,5750,9.0
E1,M01,100-0,ALL,SF-100,A,202303,26,5880,9.0
E1,M01,100-0,ALL,SF-100,A,202304,27,6010,2.0
E1,M01,100-0,ALL,SF-100,A,202305,28,6140,9.0
E1,M01,100-0,ALL,SF-100,A,202306,29,6270,9.0
E1,M01,100-0,ALL,SF-100,A,202307,30,6400,4.0
E1,M01,100-0,ALL,SF-100,A,202308,31,6530,9.0
E1,M01,100-0,ALL,SF-100,A,202309,32,6660,8.0
E1,M01,100-0,ALL,SF-100,A,202310,33,6790,5.0
E1,M01,100-0,ALL,SF-100,A,202311,34,6920,9.0
E1,M01,100-0,ALL,SF-100,A,202312,35,7050,9.0
E1,M01,100-0,ALL,SF-100,A,202401,36,7180,6.0
E1,M01,100-0,ALL,SF-100,A,202402,37,7310,6.0
E1,M01,100-0,ALL,SF-100,A,202403,38,7440,12.0
E1,M01,100-0,ALL,SF-100,A,202404,39,7570,8.0
E1,M01,100-0,ALL,SF-100,A,202405,40,7700,11.0
E1,M01,100-0,ALL,SF-100,A,202406,41,7830,10.0
E1,M01,100-0,ALL,SF-100,A,202407,42,7960,14.0
E1,M01,100-0,ALL,SF-100,A,202408,43,8090,11.0
E1,M01,100-0,ALL,SF-100,A,202409,44,8220,10.0
E1,M01,100-0,ALL,SF-100,A,202410,45,8350,8.0
E1,M01,100-0,ALL,SF-100,A,202411,46,8480,12.0
E1,M01,100-0,ALL,SF-100,A,202412,47,8610,5.0
E1,M01,100-0,B,SF-100,A,202103,2,662,1.0
E1,M01,100-0,B,SF-100,A,202104,3,694,1.0
E1,M01,100-0,B,SF-100,A,202105,4,725,0.0
E1,M01,100-0,B,SF-100,A,202106,5,756,1.0
E1,M01,100-0,B,SF-100,A,202107,6,787,0.0
E1,M01,100-0,B,SF-100,A,202108,7,818,1.0
E1,M01,100-0,B,SF-100,A,202109,8,850,0.0
E1,M01,100-0,B,SF-100,A,202110,9,881,2.0
E1,M01,100-0,B,SF-100,A,202111,10,912,0.0
E1,M01,100-0,B,SF-100,A,202112,11,943,0.0
E1,M01,100-0,B,SF-100,A,202201,12,974,0.0
E1,M01,100-0,B,SF-100,A,202202,13,1006,1.0
E1,M01,100-0,B,SF-100,A,202203,14,1037,0.0
E1,M01,100-0,B,SF-100,A,202204,15,1068,0.0
E1,M01,100-0,B,SF-100,A,202205,16,1099,3.0
E1,M01,100-0,B,SF-100,A,202206,17,1130,1.0
E1,M01,100-0,B,SF-100,A,202207,18,1162,0.0
E1,M01,100-0,B,SF-100,A,202208,19,1193,1.0
E1,M01,100-0,B,SF-100,A,202209,20,1224,1.0
E1,M01,100-0,B,SF-100,A,202210,21,1255,2.0
E1,M01,100-0,B,SF-100,A,202211,22,1286,1.0
E1,M01,100-0,B,SF-100,A,202212,23,1318,2.0
E1,M01,100-0,B,SF-100,A,202301,24,1349,1.0
E1,M01,100-0,B,SF-100,A,202302,25,1380,4.0
E1,M01,100-0,B,SF-100,A,202303,26,1411,3.0
E1,M01,100-0,B,SF-100,A,202304,27,1442,0.0
E1,M01,100-0,B,SF-100,A,202305,28,1474,2.0
E1,M01,100-0,B,SF-100,A,202306,29,1505,2.0
E1,M01,100-0,B,SF-100,A,202307,30,1536,2.0
E1,M01,100-0,B,SF-100,A,202308,31,1567,4.0
E1,M01,100-0,B,SF-100,A,202309,32,1598,1.0
E1,M01,100-0,B,SF-100,A,202310,33,1630,0.0
E1,M01,100-0,B,SF-100,A,202311,34,1661,3.0
E1,M01,100-0,B,SF-100,A,202312,35,1692,0.0
E1,M01,100-0,B,SF-100,A,202401,36,1723,1.0
E1,M01,100-0,B,SF-100,A,202402,37,1754,0.0
E1,M01,100-0,B,SF-100,A,202403,38,1786,5.0
E1,M01,100-0,B,SF-100,A,202404,39,1817,1.0
E1,M01,100-0,B,SF-100,A,202405,40,1848,1.0
E1,M01,100-0,B,SF-100,A,202406,41,1879,0.0
E1,M01,100-0,B,SF-100,A,202407,42,1910,4.0
E1,M01,100-0,B,SF-100,A,202408,43,1942,2.0
E1,M01,100-0,B,SF-100,A,202409,44,1973,3.0
E1,M01,100-0,B,SF-100,A,202410,45,2004,2.0
E1,M01,100-0,B,SF-100,A,202411,46,2035,6.0
E1,M01,100-0,B,SF-100,A,202412,47,2066,1.0
E1,M01,100-0,C,SF-100,A,202101,0,500,2.0
E1,M01,100-0,C,SF-100,A,202103,2,552,0.0
E1,M01,100-0,C,SF-100,A,202104,3,578,1.0
E1,M01,100-0,C,SF-100,A,202105,4,604,0.0
E1,M01,100-0,C,SF-100,A,202106,5,630,1.0
E1,M01,100-0,C,SF-100,A,202107,6,656,0.0
E1,M01,100-0,C,SF-100,A,202108,7,682,0.0
E1,M01,100-0,C,SF-100,A,202109,8,708,1.0
E1,M01,100-0,C,SF-100,A,202110,9,734,0.0
E1,M01,100-0,C,SF-100,A,202111,10,760,0.0
E1,M01,100-0,C,SF-100,A,202112,11,786,1.0
E1,M01,100-0,C,SF-100,A,202201,12,812,1.0
E1,M01,100-0,C,SF-100,A,202202,13,838,1.0
E1,M01,100-0,C,SF-100,A,202203,14,864,0.0
E1,M01,100-0,C,SF-100,A,202204,15,890,1.0
E1,M01,100-0,C,SF-100,A,202205,16,916,0.0
E1,M01,100-0,C,SF-100,A,202206,17,942,0.0
E1,M01,100-0,C,SF-100,A,202207,18,968,0.0
E1,M01,100-0,C,SF-100,A,202208,19,994,1.0
E1,M01,100-0,C,SF-100,A,202209,20,1020,0.0
E1,M01,100-0,C,SF-100,A,202210,21,1046,3.0
E1,M01,100-0,C,SF-100,A,202211,22,1072,0.0
E1,M01,100-0,C,SF-100,A,202212,23,1098,6.0
E1,M01,100-0,C,SF-100,A,202301,24,1124,2.0
E1,M01,100-0,C,SF-100,A,202302,25,1150,2.0
E1,M01,100-0,C,SF-100,A,202303,26,1176,1.0
E1,M01,100-0,C,SF-100,A,202304,27,1202,0.0
E1,M01,100-0,C,SF-100,A,202305,28,1228,0.0
E1,M01,100-0,C,SF-100,A,202306,29,1254,0.0
E1,M01,100-0,C,SF-100,A,202307,30,1280,1.0
E1,M01,100-0,C,SF-100,A,202308,31,1306,2.0
E1,M01,100-0,C,SF-100,A,202309,32,1332,2.0
E1,M01,100-0,C,SF-100,A,202310,33,1358,2.0
E1,M01,100-0,C,SF-100,A,202311,34,1384,2.0
E1,M01,100-0,C,SF-100,A,202312,35,1410,3.0
E1,M01,100-0,C,SF-100,A,202401,36,1436,1.0
E1,M01,100-0,C,SF-100,A,202402,37,1462,1.0
E1,M01,100-0,C,SF-100,A,202403,38,1488,1.0
E1,M01,100-0,C,SF-100,A,202404,39,1514,0.0
E1,M01,100-0,C,SF-100,A,202405,40,1540,4.0
E1,M01,100-0,C,SF-100,A,202406,41,1566,2.0
E1,M01,100-0,C,SF-100,A,202407,42,1592,4.0
E1,M01,100-0,C,SF-100,A,202408,43,1618,1.0
E1,M01,100-0,C,SF-100,A,202409,44,1644,3.0
E1,M01,100-0,C,SF-100,A,202410,45,1670,2.0
E1,M01,100-0,C,SF-100,A,202411,46,1696,1.0
E1,M01,100-0,D,SF-100,A,202103,2,414,2.0
E1,M01,100-0,D,SF-100,A,202104,3,434,0.0
E1,M01,100-0,D,SF-100,A,202105,4,453,0.0
E1,M01,100-0,D,SF-100,A,202106,5,472,0.0
E1,M01,100-0,D,SF-100,A,202107,6,492,1.0
E1,M01,100-0,D,SF-100,A,202108,7,512,1.0
E1,M01,100-0,D,SF-100,A,202109,8,531,0.0
E1,M01,100-0,D,SF-100,A,202110,9,550,1.0
E1,M01,100-0,D,SF-100,A,202111,10,570,0.0
E1,M01,100-0,D,SF-100,A,202112,11,590,0.0
E1,M01,100-0,D,SF-100,A,202201,12,609,0.0
E1,M01,100-0,D,SF-100,A,202202,13,628,2.0
E1,M01,100-0,D,SF-100,A,202203,14,648,1.0
E1,M01,100-0,D,SF-100,A,202204,15,668,0.0
E1,M01,100-0,D,SF-100,A,202205,16,687,2.0
E1,M01,100-0,D,SF-100,A,202206,17,706,0.0
E1,M01,100-0,D,SF-100,A,202207,18,726,0.0
E1,M01,100-0,D,SF-100,A,202208,19,746,0.0
E1,M01,100-0,D,SF-100,A,202209,20,765,1.0
E1,M01,100-0,D,SF-100,A,202210,21,784,0.0
E1,M01,100-0,D,SF-100,A,202211,22,804,1.0
E1,M01,100-0,D,SF-100,A,202212,23,824,0.0
E1,M01,100-0,D,SF-100,A,202301,24,843,0.0
E1,M01,100-0,D,SF-100,A,202302,25,862,1.0
E1,M01,100-0,D,SF-100,A,202303,26,882,0.0
E1,M01,100-0,D,SF-100,A,202304,27,902,1.0
E1,M01,100-0,D,SF-100,A,202305,28,921,3.0
E1,M01,100-0,D,SF-100,A,202306,29,940,2.0
E1,M01,100-0,D,SF-100,A,202307,30,960,0.0
E1,M01,100-0,D,SF-100,A,202308,31,980,1.0
E1,M01,100-0,D,SF-100,A,202309,32,999,0.0
E1,M01,100-0,D,SF-100,A,202310,33,1018,0.0
E1,M01,100-0,D,SF-100,A,202311,34,1038,2.0
E1,M01,100-0,D,SF-100,A,202312,35,1058,2.0
E1,M01,100-0,D,SF-100,A,202401,36,1077,1.0
E1,M01,100-0,D,SF-100,A,202402,37,1096,0.0
E1,M01,100-0,D,SF-100,A,202403,38,1116,2.0
E1,M01,100-0,D,SF-100,A,202404,39,1136,1.0
E1,M01,100-0,D,SF-100,A,202405,40,1155,1.0
E1,M01,100-0,D,SF-100,A,202406,41,1174,2.0
E1,M01,100-0,D,SF-100,A,202407,42,1194,1.0
E1,M01,100-0,D,SF-100,A,202408,43,1214,3.0
E1,M01,100-0,D,SF-100,A,202409,44,1233,2.0
E1,M01,100-0,D,SF-100,A,202410,45,1252,1.0
E1,M01,100-0,E,SF-100,A,202109,8,248,0.0
E1,M01,100-0,E,SF-100,A,202110,9,257,0.0
E1,M01,100-0,E,SF-100,A,202111,10,266,1.0
E1,M01,100-0,E,SF-100,A,202112,11,275,0.0
E1,M01,100-0,E,SF-100,A,202201,12,284,0.0
E1,M01,100-0,E,SF-100,A,202202,13,293,0.0
E1,M01,100-0,E,SF-100,A,202203,14,302,0.0
E1,M01,100-0,E,SF-100,A,202204,15,312,1.0
E1,M01,100-0,E,SF-100,A,202205,16,321,0.0
E1,M01,100-0,E,SF-100,A,202206,17,330,0.0
E1,M01,100-0,E,SF-100,A,202207,18,339,0.0
E1,M01,100-0,E,SF-100,A,202208,19,348,0.0
E1,M01,100-0,E,SF-100,A,202209,20,357,0.0
E1,M01,100-0,E,SF-100,A,202210,21,366,0.0
E1,M01,100-0,E,SF-100,A,202211,22,375,0.0
E1,M01,100-0,E,SF-100,A,202212,23,384,2.0
E1,M01,100-0,E,SF-100,A,202301,24,393,0.0
E1,M01,100-0,E,SF-100,A,202302,25,403,1.0
E1,M01,100-0,E,SF-100,A,202303,26,412,3.0
E1,M01,100-0,E,SF-100,A,202304,27,421,0.0
E1,M01,100-0,E,SF-100,A,202305,28,430,2.0
E1,M01,100-0,E,SF-100,A,202306,29,439,0.0
E1,M01,100-0,E,SF-100,A,202307,30,448,0.0
E1,M01,100-0,E,SF-100,A,202308,31,457,1.0
E1,M01,100-0,E,SF-100,A,202309,32,466,0.0
E1,M01,100-0,E,SF-100,A,202310,33,475,0.0
E1,M01,100-0,E,SF-100,A,202311,34,484,0.0
E1,M01,100-0,E,SF-100,A,202312,35,494,0.0
E1,M01,100-0,E,SF-100,A,202401,36,503,0.0
E1,M01,100-0,E,SF-100,A,202402,37,512,0.0
E1,M01,100-0,E,SF-100,A,202403,38,521,0.0
E1,M01,100-0,E,SF-100,A,202404,39,530,2.0
E1,M01,100-0,E,SF-100,A,202405,40,539,0.0
E1,M01,100-0,E,SF-100,A,202406,41,548,1.0
E1,M01,100-0,E,SF-100,A,202407,42,557,1.0
E1,M01,100-0,E,SF-100,A,202408,43,566,2.0
E1,M01,100-0,E,SF-100,A,202409,44,575,1.0
E1,M01,100-0,E,SF-100,A,202410,45,584,0.0
E1,M01,100-0,E,SF-100,A,202411,46,594,0.0
E1,M01,100-0,E,SF-100,A,202412,47,603,2.0
E1,M01,101-0,A,SF-101,A,202101,0,850,1.0
E1,M01,101-0,A,SF-101,A,202102,1,894,1.0
E1,M01,101-0,A,SF-101,A,202103,2,938,1.0
E1,M01,101-0,A,SF-101,A,202104,3,983,1.0
E1,M01,101-0,A,SF-101,A,202105,4,1027,0.0
E1,M01,101-0,A,SF-101,A,202106,5,1071,1.0
E1,M01,101-0,A,SF-101,A,202107,6,1115,2.0
E1,M01,101-0,A,SF-101,A,202108,7,1159,2.0
E1,M01,101-0,A,SF-101,A,202109,8,1204,0.0
E1,M01,101-0,A,SF-101,A,202110,9,1248,2.0
E1,M01,101-0,A,SF-101,A,202111,10,1292,1.0
E1,M01,101-0,A,SF-101,A,202112,11,1336,0.0
E1,M01,101-0,A,SF-101,A,202201,12,1380,1.0
E1,M01,101-0,A,SF-101,A,202202,13,1425,0.0
E1,M01,101-0,A,SF-101,A,202203,14,1469,3.0
E1,M01,101-0,A,SF-101,A,202204,15,1513,0.0
E1,M01,101-0,A,SF-101,A,202205,16,1557,3.0
E1,M01,101-0,A,SF-101,A,202206,17,1601,1.0
E1,M01,101-0,A,SF-101,A,202207,18,1646,0.0
E1,M01,101-0,A,SF-101,A,202208,19,1690,0.0
E1,M01,101-0,A,SF-101,A,202209,20,1734,1.0
E1,M01,101-0,A,SF-101,A,202210,21,1778,2.0
E1,M01,101-0,A,SF-101,A,202211,22,1822,1.0
E1,M01,101-0,A,SF-101,A,202212,23,1867,4.0
E1,M01,101-0,A,SF-101,A,202301,24,1911,0.0
E1,M01,101-0,A,SF-101,A,202302,25,1955,2.0
E1,M01,101-0,A,SF-101,A,202303,26,1999,2.0
E1,M01,101-0,A,SF-101,A,202304,27,2043,2.0
E1,M01,101-0,A,SF-101,A,202305,28,2088,6.0
E1,M01,101-0,A,SF-101,A,202306,29,2132,4.0
E1,M01,101-0,A,SF-101,A,202307,30,2176,1.0
E1,M01,101-0,A,SF-101,A,202308,31,2220,3.0
E1,M01,101-0,A,SF-101,A,202309,32,2264,2.0
E1,M01,101-0,A,SF-101,A,202310,33,2309,1.0
E1,M01,101-0,A,SF-101,A,202311,34,2353,3.0
E1,M01,101-0,A,SF-101,A,202312,35,2397,1.0
E1,M01,101-0,A,SF-101,A,202401,36,2441,1.0
E1,M01,101-0,A,SF-101,A,202402,37,2485,3.0
E1,M01,101-0,A,SF-101,A,202403,38,2530,1.0
E1,M01,101-0,A,SF-101,A,202404,39,2574,4.0
E1,M01,101-0,A,SF-101,A,202405,40,2618,1.0
E1,M01,101-0,A,SF-101,A,202406,41,2662,6.0
E1,M01,101-0,A,SF-101,A,202407,42,2706,1.0
E1,M01,101-0,A,SF-101,A,202408,43,2751,1.0
E1,M01,101-0,A,SF-101,A,202409,44,2795,8.0
E1,M01,101-0,A,SF-101,A,202410,45,2839,4.0
E1,M01,101-0,A,SF-101,A,202411,46,2883,2.0
E1,M01,101-0,A,SF-101,A,202412,47,2927,2.0
E1,M01,101-0,ALL,SF-101,A,202101,0,2500,2.0
E1,M01,101-0,ALL,SF-101,A,202102,1,2630,1.0
E1,M01,101-0,ALL,SF-101,A,202103,2,2760,2.0
E1,M01,101-0,ALL,SF-101,A,202104,3,2890,4.0
E1,M01,101-0,ALL,SF-101,A,202105,4,3020,2.0
E1,M01,101-0,ALL,SF-101,A,202106,5,3150,3.0
E1,M01,101-0,ALL,SF-101,A,202107,6,3280,3.0
E1,M01,101-0,ALL,SF-101,A,202108,7,3410,9.0
E1,M01,101-0,ALL,SF-101,A,202109,8,3540,3.0
E1,M01,101-0,ALL,SF-101,A,202110,9,3670,6.0
E1,M01,101-0,ALL,SF-101,A,202111,10,3800,3.0
E1,M01,101-0,ALL,SF-101,A,202112,11,3930,3.0
E1,M01,101-0,ALL,SF-101,A,202201,12,4060,3.0
E1,M01,101-0,ALL,SF-101,A,202202,13,4190,6.0
E1,M01,101-0,ALL,SF-101,A,202203,14,4320,5.0
E1,M01,101-0,ALL,SF-101,A,202204,15,4450,1.0
E1,M01,101-0,ALL,SF-101,A,202205,16,4580,5.0
E1,M01,101-0,ALL,SF-101,A,202206,17,4710,2.0
E1,M01,101-0,ALL,SF-101,A,202207,18,4840,3.0
E1,M01,101-0,ALL,SF-101,A,202208,19,4970,10.0
E1,M01,101-0,ALL,SF-101,A,202209,20,5100,3.0
E1,M01,101-0,ALL,SF-101,A,202210,21,5230,8.0
E1,M01,101-0,ALL,SF-101,A,202211,22,5360,4.0
E1,M01,101-0,ALL,SF-101,A,202212,23,5490,5.0
E1,M01,101-0,ALL,SF-101,A,202301,24,5620,1.0
E1,M01,101-0,ALL,SF-101,A,202302,25,5750,5.0
E1,M01,101-0,ALL,SF-101,A,202303,26,5880,7.0
E1,M01,101-0,ALL,SF-101,A,202304,27,6010,5.0
E1,M01,101-0,ALL,SF-101,A,202305,28,6140,9.0
E1,M01,101-0,ALL,SF-101,A,202306,29,6270,9.0
E1,M01,101-0,ALL,SF-101,A,202307,30,6400,3.0
E1,M01,101-0,ALL,SF-101,A,202308,31,6530,7.0
E1,M01,101-0,ALL,SF-101,A,202309,32,6660,6.0
E1,M01,101-0,ALL,SF-101,A,202310,33,6790,6.0
E1,M01,101-0,ALL,SF-101,A,202311,34,6920,9.0
E1,M01,101-0,ALL,SF-101,A,202312,35,7050,7.0
E1,M01,101-0,ALL,SF-101,A,202401,36,7180,4.0
E1,M01,101-0,ALL,SF-101,A,202402,37,7310,7.0
E1,M01,101-0,ALL,SF-101,A,202403,38,7440,5.0
E1,M01,101-0,ALL,SF-101,A,202404,39,7570,11.0
E1,M01,101-0,ALL,SF-101,A,202405,40,7700,7.0
E1,M01,101-0,ALL,SF-101,A,202406,41,7830,11.0
E1,M01,101-0,ALL,SF-101,A,202407,42,7960,9.0
E1,M01,101-0,ALL,SF-101,A,202408,43,8090,4.0
E1,M01,101-0,ALL,SF-101,A,202409,44,8220,11.0
E1,M01,101-0,ALL,SF-101,A,202410,45,8350,5.0
E1,M01,101-0,ALL,SF-101,A,202411,46,8480,8.0
E1,M01,101-0,ALL,SF-101,A,202412,47,8610,4.0
E1,M01,101-0,B,SF-101,A,202101,0,600,1.0
E1,M01,101-0,B,SF-101,A,202103,2,662,0.0
E1,M01,101-0,B,SF-101,A,202104,3,694,1.0
E1,M01,101-0,B,SF-101,A,202105,4,725,1.0
E1,M01,101-0,B,SF-101,A,202106,5,756,1.0
E1,M01,101-0,B,SF-101,A,202107,6,787,0.0
E1,M01,101-0,B,SF-101,A,202108,7,818,4.0
E1,M01,101-0,B,SF-101,A,202109,8,850,2.0
E1,M01,101-0,B,SF-101,A,202110,9,881,1.0
E1,M01,101-0,B,SF-101,A,202111,10,912,0.0
E1,M01,101-0,B,SF-101,A,202112,11,943,0.0
E1,M01,101-0,B,SF-101,A,202201,12,974,0.0
E1,M01,101-0,B,SF-101,A,202202,13,1006,3.0
E1,M01,101-0,B,SF-101,A,202203,14,1037,1.0
E1,M01,101-0,B,SF-101,A,202204,15,1068,1.0
E1,M01,101-0,B,SF-101,A,202205,16,1099,1.0
E1,M01,101-0,B,SF-101,A,202206,17,1130,1.0
E1,M01,101-0,B,SF-101,A,202207,18,1162,3.0
E1,M01,101-0,B,SF-101,A,202208,19,1193,4.0
E1,M01,101-0,B,SF-101,A,202209,20,1224,0.0
E1,M01,101-0,B,SF-101,A,202210,21,1255,4.0
E1,M01,101-0,B,SF-101,A,202211,22,1286,1.0
E1,M01,101-0,B,SF-101,A,202212,23,1318,0.0
E1,M01,101-0,B,SF-101,A,202301,24,1349,0.0
E1,M01,101-0,B,SF-101,A,202302,25,1380,1.0
E1,M01,101-0,B,SF-101,A,202303,26,1411,2.0
E1,M01,101-0,B,SF-101,A,202304,27,1442,0.0
E1,M01,101-0,B,SF-101,A,202305,28,1474,2.0
E1,M01,101-0,B,SF-101,A,202306,29,1505,3.0
E1,M01,101-0,B,SF-101,A,202307,30,1536,2.0
E1,M01,101-0,B,SF-101,A,202308,31,1567,2.0
E1,M01,101-0,B,SF-101,A,202309,32,1598,2.0
E1,M01,101-0,B,SF-101,A,202310,33,1630,0.0
E1,M01,101-0,B,SF-101,A,202311,34,1661,4.0
E1,M01,101-0,B,SF-101,A,202312,35,1692,2.0
E1,M01,101-0,B,SF-101,A,202401,36,1723,1.0
E1,M01,101-0,B,SF-101,A,202402,37,1754,2.0
E1,M01,101-0,B,SF-101,A,202403,38,1786,2.0
E1,M01,101-0,B,SF-101,A,202404,39,1817,2.0
E1,M01,101-0,B,SF-101,A,202405,40,1848,3.0
E1,M01,101-0,B,SF-101,A,202406,41,1879,1.0
E1,M01,101-0,B,SF-101,A,202407,42,1910,3.0
E1,M01,101-0,B,SF-101,A,202408,43,1942,2.0
E1,M01,101-0,B,SF-101,A,202409,44,1973,0.0
E1,M01,101-0,B,SF-101,A,202410,45,2004,0.0
E1,M01,101-0,B,SF-101,A,202411,46,2035,5.0
E1,M01,101-0,B,SF-101,A,202412,47,2066,2.0
E1,M01,101-0,C,SF-101,A,202103,2,552,1.0
E1,M01,101-0,C,SF-101,A,202104,3,578,2.0
E1,M01,101-0,C,SF-101,A,202105,4,604,1.0
E1,M01,101-0,C,SF-101,A,202106,5,630,0.0
E1,M01,101-0,C,SF-101,A,202107,6,656,1.0
E1,M01,101-0,C,SF-101,A,202108,7,682,3.0
E1,M01,101-0,C,SF-101,A,202109,8,708,0.0
E1,M01,101-0,C,SF-101,A,202110,9,734,1.0
E1,M01,101-0,C,SF-101,A,202111,10,760,1.0
E1,M01,101-0,C,SF-101,A,202112,11,786,2.0
E1,M01,101-0,C,SF-101,A,202201,12,812,0.0
E1,M01,101-0,C,SF-101,A,202202,13,838,1.0
E1,M01,101-0,C,SF-101,A,202203,14,864,1.0
E1,M01,101-0,C,SF-101,A,202204,15,890,0.0
E1,M01,101-0,C,SF-101,A,202205,16,916,1.0
E1,M01,101-0,C,SF-101,A,202206,17,942,0.0
E1,M01,101-0,C,SF-101,A,202207,18,968,0.0
E1,M01,101-0,C,SF-101,A,202208,19,994,2.0
E1,M01,101-0,C,SF-101,A,202209,20,1020,1.0
E1,M01,101-0,C,SF-101,A,202210,21,1046,0.0
E1,M01,101-0,C,SF-101,A,202211,22,1072,1.0
E1,M01,101-0,C,SF-101,A,202212,23,1098,0.0
E1,M01,101-0,C,SF-101,A,202301,24,1124,1.0
E1,M01,101-0,C,SF-101,A,202302,25,1150,0.0
E1,M01,101-0,C,SF-101,A,202303,26,1176,2.0
E1,M01,101-0,C,SF-101,A,202304,27,1202,0.0
E1,M01,101-0,C,SF-101,A,202305,28,1228,0.0
E1,M01,101-0,C,SF-101,A,202306,29,1254,0.0
E1,M01,101-0,C,SF-101,A,202307,30,1280,0.0
E1,M01,101-0,C,SF-101,A,202308,31,1306,1.0
E1,M01,101-0,C,SF-101,A,202309,32,1332,2.0
E1,M01,101-0,C,SF-101,A,202310,33,1358,2.0
