経過月,事業コード,SF-コード,ランク,開発コード,部番,販社,年月,月次使用数,累積販売台数,lambda0,期待故障数,参照値k,CUSUM,しきい値h,アラート,基準モード,月次p値,スパイクアラート,バーストp値,バーストアラート,アラート種別,総合アラート
63,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202063,0,14438.0,0.00013041550379509117,1.8829390437935263,2.716506820777127,0.0,8.0,False,stable,1.0,False,0.9715239202031984,False,,False
64,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202064,2,14664.0,0.00013041550379509117,1.9124129476512168,2.7590286757082554,0.0,8.0,False,stable,0.5881303991028067,False,0.8854265444826989,False,,False
65,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202065,1,14890.0,0.00013041550379509117,1.9418868515089074,2.8015505306393838,0.0,8.0,False,stable,0.8574156979536716,False,0.7436101588128419,False,,False
66,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202066,1,15115.0,0.00013041550379509117,1.971230339862803,2.843884235769932,0.0,8.0,False,stable,0.86130944107168,False,0.8943748531512496,False,,False
67,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202067,4,15341.0,0.00013041550379509117,2.0007042437204934,2.88640609070106,1.11359390929894,8.0,False,stable,0.17763548528334483,False,0.4113588235231869,False,,False
68,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202068,4,15567.0,0.00013041550379509117,2.030178147578184,2.9289279456321884,2.1846659636667516,8.0,False,stable,0.18357264441056925,False,0.09439161362413391,False,,False
69,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202069,2,15793.0,0.00013041550379509117,2.059652051435875,2.971449800563317,1.2132161631034344,8.0,False,stable,0.6258380694296317,False,0.2850318441878786,False,,False
70,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202070,1,16018.0,0.00013041550379509117,2.0889955397897704,3.013783505693865,0.0,8.0,False,stable,0.8758360380496417,False,0.7818831356288016,False,,False
71,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202071,3,16244.0,0.00013041550379509117,2.1184694436474607,3.056305360624993,0.0,8.0,False,stable,0.3884680614534785,False,0.624707599571479,False,,False
72,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202072,3,16470.0,0.00013041550379509117,2.1479433475051515,3.0988272155561214,0.0,8.0,False,stable,0.3962454761932831,False,0.3138798960301899,False,,False
73,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202073,4,16696.0,0.00013041550379509117,2.1774172513628423,3.14134907048725,0.8586509295127498,8.0,False,stable,0.21397272550194857,False,0.2051686432746863,False,,False
74,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202074,3,16921.0,0.00013041550379509117,2.2067607397167377,3.183682775617798,0.6749681538949517,8.0,False,stable,0.4116428388844759,False,0.2131403922667882,False,,False
75,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202075,2,17147.0,0.00013041550379509117,2.236234643574428,3.226204630548926,0.0,8.0,False,stable,0.6670751203833946,False,0.49502764658012116,False,,False
76,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202076,2,17372.0,0.00013041550379509117,2.265578131928324,3.268538335679475,0.0,8.0,False,stable,0.6735210736421875,False,0.6702002291963965,False,,False
77,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202077,4,17599.0,0.00013041550379509117,2.2951824512898096,3.311248340411183,0.6887516595888168,8.0,False,stable,0.23900525602684017,False,0.36221962315120704,False,,False
78,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202078,2,17824.0,0.00013041550379509117,2.324525939643705,3.353582045541731,0.0,8.0,False,stable,0.6861309373327613,False,0.37187750780535184,False,,False
79,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202079,1,18050.0,0.00013041550379509117,2.3539998435013954,3.396103900472859,0.0,8.0,False,stable,0.9029340928468867,False,0.8377501281701099,False,,False
80,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202080,2,18275.0,0.00013041550379509117,2.3833433318552912,3.438437605603408,0.0,8.0,False,stable,0.6982699091020181,False,0.8430378996297485,False,,False
81,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202081,3,18502.0,0.00013041550379509117,2.412947651216777,3.481147610335116,0.0,8.0,False,stable,0.4641149431125454,False,0.5534698549692306,False,,False
82,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202082,4,18727.0,0.00013041550379509117,2.4422911395706723,3.523481315465664,0.4765186845343359,8.0,False,stable,0.27088756150895893,False,0.27957678639016953,False,,False
83,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202083,1,18953.0,0.00013041550379509117,2.4717650434283627,3.566003170396792,0.0,8.0,False,stable,0.912889270108425,False,0.5719773214912872,False,,False
84,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202084,1,19178.0,0.00013041550379509117,2.5011085317822586,3.608336875527341,0.0,8.0,False,stable,0.915197000038832,False,0.9489538060687011,False,,False
85,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202085,3,19405.0,0.00013041550379509117,2.5307128511437442,3.651046880259049,0.0,8.0,False,stable,0.49287892970871505,False,0.7407454089252111,False,,False
86,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202086,2,19630.0,0.00013041550379509117,2.5600563394976397,3.6933805853895976,0.0,8.0,False,stable,0.7321872889141637,False,0.5987754921367823,False,,False
87,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202087,7,19856.0,0.00013041550379509117,2.58953024335533,3.7359024403207255,3.2640975596792745,8.0,False,stable,0.033639495507054314,False,0.13512377462552078,False,,False
88,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202088,2,20081.0,0.00013041550379509117,2.618873731709226,3.778236145451274,1.485861414228001,8.0,False,stable,0.7426638132267819,False,0.14073578059490593,False,,False
89,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202089,5,20307.0,0.00013041550379509117,2.648347635566916,3.8207580003824018,2.6651034138455993,8.0,False,stable,0.1703660110913609,False,0.33983925402194226,False,,False
90,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202090,0,20533.0,0.00013041550379509117,2.677821539424607,3.8632798553135306,0.0,8.0,False,stable,1.0,False,0.6326050543327926,False,,False
36,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202036,1,5562.0,6.520775189754558e-05,0.3626855160541485,0.5232445954135746,0.4767554045864254,8.0,False,stable,0.34305948027572186,False,,False,,False
37,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202037,0,5713.0,6.520775189754558e-05,0.37253188659067793,0.5374499053573808,0.0,8.0,False,stable,1.0,False,0.5609431927726278,False,,False
38,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202038,0,5863.0,6.520775189754558e-05,0.38231304937530974,0.5515611404008968,0.0,8.0,False,stable,1.0,False,1.0,False,,False
39,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202039,0,6014.0,6.520775189754558e-05,0.3921594199118391,0.565766450344703,0.0,8.0,False,stable,1.0,False,1.0,False,,False
40,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202040,1,6164.0,6.520775189754558e-05,0.401940582696471,0.579877685388219,0.42012231461178096,8.0,False,stable,0.37118743934568466,False,0.587043690060284,False,,False
41,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202041,2,6314.0,6.520775189754558e-05,0.4117217454811028,0.593988920431735,1.8261333941800462,8.0,False,stable,0.09403561513350424,False,0.08900970827194717,False,,False
42,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202042,1,6465.0,6.520775189754558e-05,0.42156811601763217,0.6081942303755411,2.2179391638045054,8.0,False,stable,0.3847232354978832,False,0.09354539528721954,False,,False
43,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202043,0,6616.0,6.520775189754558e-05,0.4314144865541616,0.6223995403193473,1.5955396234851582,8.0,False,stable,1.0,False,0.6113518303612128,False,,False
44,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202044,0,6766.0,6.520775189754558e-05,0.4411956493387934,0.6365107753628634,0.9590288481222948,8.0,False,stable,1.0,False,1.0,False,,False
45,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202045,0,6916.0,6.520775189754558e-05,0.4509768121234253,0.6506220104063795,0.30840683771591537,8.0,False,stable,1.0,False,1.0,False,,False
46,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202046,0,7067.0,6.520775189754558e-05,0.46082318265995464,0.6648273203501855,0.0,8.0,False,stable,1.0,False,1.0,False,,False
47,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202047,0,7218.0,6.520775189754558e-05,0.470669553196484,0.6790326302939916,0.0,8.0,False,stable,1.0,False,1.0,False,,False
48,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202048,0,7368.0,6.520775189754558e-05,0.48045071598111583,0.6931438653375077,0.0,8.0,False,stable,1.0,False,1.0,False,,False
49,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202049,1,7518.0,6.520775189754558e-05,0.4902318787657477,0.7072551003810238,0.2927448996189762,8.0,False,stable,0.42947339291887227,False,0.6551135599729522,False,,False
50,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202050,0,7669.0,6.520775189754558e-05,0.5000782493022771,0.7214604103248299,0.0,8.0,False,stable,1.0,False,0.6618384827421779,False,,False
51,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202051,0,7820.0,6.520775189754558e-05,0.5099246198388064,0.735665720268636,0.0,8.0,False,stable,1.0,False,1.0,False,,False
52,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202052,0,7970.0,6.520775189754558e-05,0.5197057826234383,0.749776955312152,0.0,8.0,False,stable,1.0,False,1.0,False,,False
53,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202053,1,8120.0,6.520775189754558e-05,0.5294869454080702,0.7638881903556681,0.23611180964433187,8.0,False,stable,0.45334792167741716,False,0.6811139671851109,False,,False
54,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202054,0,8271.0,6.520775189754558e-05,0.5393333159445995,0.7780935002994743,0.0,8.0,False,stable,1.0,False,0.6872521201557666,False,,False
55,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202055,1,8422.0,6.520775189754558e-05,0.5491796864811289,0.7922988102432804,0.20770118975671958,8.0,False,stable,0.46488478545130557,False,0.6932725818607595,False,,False
56,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202056,1,8572.0,6.520775189754558e-05,0.5589608492657607,0.8064100452867964,0.4012911444699232,8.0,False,stable,0.4705093035192085,False,0.37164527771673667,False,,False
57,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202057,1,8722.0,6.520775189754558e-05,0.5687420120503925,0.8205212803303125,0.5807698641396107,8.0,False,stable,0.47606497071682624,False,0.37895779644086636,False,,False
58,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202058,1,8873.0,6.520775189754558e-05,0.5785883825869219,0.8347265902741186,0.7460432738654921,8.0,False,stable,0.4815891080934404,False,0.3862347346590643,False,,False
59,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202059,1,9024.0,6.520775189754558e-05,0.5884347531234514,0.8489319002179249,0.8971113736475672,8.0,False,stable,0.4870454133736184,False,0.3934744215851469,False,,False
60,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202060,0,9174.0,6.520775189754558e-05,0.5982159159080832,0.8630431352614408,0.03406823838612638,8.0,False,stable,1.0,False,0.7213324103882501,False,,False
61,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202061,2,9324.0,6.520775189754558e-05,0.607997078692715,0.8771543703049568,1.1569138680811695,8.0,False,stable,0.17093618331713195,False,0.4076950646145245,False,,False
62,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202062,2,9475.0,6.520775189754558e-05,0.6178434492292444,0.891359680248763,2.2655541878324064,8.0,False,stable,0.17495626001870518,False,0.08159590412305215,False,,False
63,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202063,0,9625.0,6.520775189754558e-05,0.6276246120138762,0.905470915292279,1.3600832725401273,8.0,False,stable,1.0,False,0.42168476482985595,False,,False
64,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202064,4,9776.0,6.520775189754558e-05,0.6374709825504056,0.919676225236085,4.440407047304042,8.0,False,stable,0.012876711563119847,False,0.08820992491708032,False,,False
65,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202065,1,9926.0,6.520775189754558e-05,0.6472521453350375,0.9337874602796012,4.50661958702444,8.0,False,stable,0.518277477793177,False,0.03580285586709013,False,,False
66,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202066,2,10077.0,6.520775189754558e-05,0.6570985158715669,0.9479927702234073,5.558626816801033,8.0,False,stable,0.19105122037032474,False,0.21846040254203603,False,,False
67,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202067,0,10227.0,6.520775189754558e-05,0.6668796786561987,0.9621040052669234,4.5965228115341095,8.0,False,stable,1.0,False,0.44888030159489806,False,,False
68,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202068,0,10378.0,6.520775189754558e-05,0.676726049192728,0.9763093152107295,3.62021349632338,8.0,False,stable,1.0,False,1.0,False,,False
69,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202069,0,10528.0,6.520775189754558e-05,0.6865072119773599,0.9904205502542455,2.6297929460691343,8.0,False,stable,1.0,False,1.0,False,,False
70,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202070,0,10679.0,6.520775189754558e-05,0.6963535825138892,1.0046258601980516,1.6251670858710827,8.0,False,stable,1.0,False,1.0,False,,False
71,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202071,3,10829.0,6.520775189754558e-05,0.7061347452985212,1.0187370952415677,3.606429990629515,8.0,False,stable,0.06567521060133537,False,0.246425174769106,False,,False
72,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202072,1,10980.0,6.520775189754558e-05,0.7159811158350505,1.032942405185374,3.573487585444141,8.0,False,stable,0.5520027851064346,False,0.11660361982648516,False,,False
73,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202073,3,11130.0,6.520775189754558e-05,0.7257622786196823,1.04705364022889,5.526433945215251,8.0,False,stable,0.06972981902437421,False,0.12034870751352279,False,,False
74,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202074,3,11281.0,6.520775189754558e-05,0.7356086491562117,1.0612589501726961,7.465174995042554,8.0,False,stable,0.07179997736254806,False,0.02131837530168616,False,,False
75,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202075,0,11431.0,6.520775189754558e-05,0.7453898119408435,1.075370185216212,6.389804809826343,8.0,False,stable,1.0,False,0.2688493790463091,False,,False
76,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202076,2,11582.0,6.520775189754558e-05,0.7552361824773729,1.089575495160018,7.300229314666325,8.0,False,stable,0.23148548962690696,False,0.506157771323165,False,,False
77,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202077,0,11732.0,6.520775189754558e-05,0.7650173452620048,1.1036867302035342,6.19654258446279,8.0,False,stable,1.0,False,0.5121855368360546,False,,False
78,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202078,1,11883.0,6.520775189754558e-05,0.7748637157985342,1.1178920401473404,6.078650544315449,8.0,False,stable,0.5787212153750764,False,0.8002894875880777,False,,False
79,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202079,2,12033.0,6.520775189754558e-05,0.784644878583166,1.1320032751908564,6.946647269124593,8.0,False,stable,0.24358057811428463,False,0.291207446351228,False,,False
80,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202080,2,12184.0,6.520775189754558e-05,0.7944912491196954,1.1462085851346626,7.800438683989931,8.0,False,stable,0.24762227166376585,False,0.14758336955761153,False,,False
81,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202081,1,12334.0,6.520775189754558e-05,0.8042724119043272,1.1603198201781786,7.640118863811752,8.0,False,stable,0.5913671241612011,False,0.3023331639897836,False,,False
82,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202082,1,12485.0,6.520775189754558e-05,0.8141187824408566,1.1745251301219848,7.465593733689767,8.0,False,stable,0.5955017704837375,False,0.5413244168272047,False,,False
83,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202083,2,12635.0,6.520775189754558e-05,0.8238999452254885,1.1886363651655008,8.276957368524267,8.0,True,stable,0.25966294350228386,False,0.31340972652441995,False,drift,True
84,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202084,0,12786.0,6.520775189754558e-05,0.8337463157620179,1.202841675109307,0.0,8.0,False,stable,1.0,False,0.5525182966963966,False,,False
85,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202085,0,12936.0,6.520775189754558e-05,0.8435274785466497,1.216952910152823,0.0,8.0,False,stable,1.0,False,1.0,False,,False
86,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202086,0,13087.0,6.520775189754558e-05,0.853373849083179,1.2311582200966291,0.0,8.0,False,stable,1.0,False,1.0,False,,False
87,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202087,0,13237.0,6.520775189754558e-05,0.8631550118678109,1.245269455140145,0.0,8.0,False,stable,1.0,False,1.0,False,,False
88,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202088,3,13388.0,6.520775189754558e-05,0.8730013824043402,1.2594747650839513,1.7405252349160487,8.0,False,stable,0.10295423023988855,False,0.3408269995708123,False,,False
89,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202089,1,13538.0,6.520775189754558e-05,0.8827825451889721,1.2735860001274675,1.4669392347885812,8.0,False,stable,0.6230157075831309,False,0.1846932215730544,False,,False
90,BIZ1,SF100,H,H_OLD0,100-0001-001,S02,202090,3,13689.0,6.520775189754558e-05,0.8926289157255015,1.2877913100712735,3.179147924717308,8.0,False,stable,0.10771257014235565,False,0.188926969567736,False,,False
36,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202036,0,8299.0,6.118239345523198e-05,0.5077526832849701,0.7325322781732909,0.0,8.0,False,stable,1.0,False,,False,,False
37,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202037,0,8524.0,6.118239345523198e-05,0.5215187218123973,0.7523924736894966,0.0,8.0,False,stable,1.0,False,1.0,False,,False
38,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202038,0,8749.0,6.118239345523198e-05,0.5352847603398245,0.7722526692057021,0.0,8.0,False,stable,1.0,False,1.0,False,,False
39,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202039,0,8973.0,6.118239345523198e-05,0.5489896164737965,0.7920245971862803,0.0,8.0,False,stable,1.0,False,1.0,False,,False
40,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202040,0,9197.0,6.118239345523198e-05,0.5626944726077685,0.8117965251668583,0.0,8.0,False,stable,1.0,False,1.0,False,,False
41,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202041,2,9422.0,6.118239345523198e-05,0.5764605111351957,0.831656720683064,1.168343279316936,8.0,False,stable,0.14586869015120368,False,0.3655172126500847,False,,False
42,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202042,2,9647.0,6.118239345523198e-05,0.5902265496626229,0.8515169161992695,2.3168263631176664,8.0,False,stable,0.15116817842817848,False,0.05967519940484542,False,,False
43,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202043,0,9871.0,6.118239345523198e-05,0.6039314057965949,0.8712888441798476,1.4455375189378188,8.0,False,stable,1.0,False,0.38569987501436415,False,,False
44,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202044,1,10096.0,6.118239345523198e-05,0.6176974443240221,0.8911490396960533,1.5543884792417655,8.0,False,stable,0.4916128516227562,False,0.723865048664532,False,,False
45,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202045,1,10320.0,6.118239345523198e-05,0.631402300457994,0.9109209676766312,1.6434675115651345,8.0,False,stable,0.4988710053842328,False,0.4054404742919671,False,,False
46,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202046,1,10545.0,6.118239345523198e-05,0.6451683389854211,0.9307811631928368,1.7126863483722978,8.0,False,stable,0.5060444159023563,False,0.4151464950922024,False,,False
47,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202047,0,10769.0,6.118239345523198e-05,0.6588731951193931,0.9505530911734149,0.7621332571988829,8.0,False,stable,1.0,False,0.7450422496452096,False,,False
48,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202048,0,10994.0,6.118239345523198e-05,0.6726392336468203,0.9704132866896205,0.0,8.0,False,stable,1.0,False,1.0,False,,False
49,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202049,0,11218.0,6.118239345523198e-05,0.6863440897807923,0.9901852146701986,0.0,8.0,False,stable,1.0,False,1.0,False,,False
50,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202050,4,11443.0,6.118239345523198e-05,0.7001101283082195,1.0100454101864043,2.9899545898135957,8.0,False,stable,0.013366290976501511,False,0.09328798649026879,False,,False
51,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202051,2,11668.0,6.118239345523198e-05,0.7138761668356467,1.02990560570261,3.960048984110986,8.0,False,stable,0.19972187500451277,False,0.013182113853513934,False,,False
52,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202052,1,11892.0,6.118239345523198e-05,0.7275810229696187,1.0496775336831878,3.910371450427798,8.0,False,stable,0.5466477434708427,False,0.2362768844800255,False,,False
53,BIZ1,SF100,H,H_OLD1,100-0001-001,S01,202053,5,12116.0,6.118239345523198e-05,0.7412858791035906,1.0694494616637658,7.840921988764032,8.0,False,stable,0.00357919525983301,False,0.015355168740234576,False,,False
